street,city,state,zip,country,Name,Location,PostalCode,Addess,InUseSince,Rating,Potential.Rating,Area,Energy.Savings,CO2.Savings,BGN.Savings,Investment,Payback,Building.Type1,Building.Type2,Lat,Lng,region
House Number and Street Not Found,Veliko Tarnovo,Veliko Tarnovo,5000,Bulgaria,ВЕЛИКОТЪРНОВСКИ УНИВЕРСИТЕТ - РЕКТОРАТ,гр.ВЕЛИКО ТЪРНОВО,5000,УЛ. ТЕОДОСИЙ ТЪРНОВСКИ 2,1967,F,NA,4203,215463,95.21,25850,112820,4.3644,"Образователни (училища, колежи и университети)",6,43.0782318115234,25.6496677398681,NC
House Number and Street Not Found,Sofia,Sofia-City,1346,Bulgaria,"ОУ №62 ""ХРИСТО БОТЕВ""-СГРАДА А",гр.СОФИЯ,1000,"УЛ. ""1-ВА"" № 26, КВ. ОБЕЛЯ",1953,E,B,922.92,111351,34.6,23659,181597,7.6755,"Образователни (училища, колежи и университети)",6,42.7430305480957,23.2271499633789,SW
Ulitsa Vasil Levski,Yablanitsa,Lovech,5761,Bulgaria,КУЛТУРЕН ДОМ,с.БРЕСТНИЦА,5761,с.БРЕСТНИЦА,1970,F,B,2046,240001,68,13385,111121,8.3019,"Театри,кина,опери,худож.галерии",13,43.0701141357421,24.1953468322753,NW
zhk Zaryanitsa 18,Berkovitsa,Montana,3500,Bulgaria,МЖС,гр.БЕРКОВИЦА,3500,".ЗАРЯНИЦА, бл.18, 19 и 20",1986,F,C,4108,517265,41.1,29277.5,276515,9.4446,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.2389068603515,23.1121635437011,NW
Ulitsa Pazarska 1,Stara Zagora,Stara Zagora,6000,Bulgaria,"ДРАМАТИЧЕН ТЕАТЪР ""ГЕО МИЛЕВ""-СТАРА ЗАГОРА",гр.СТАРА ЗАГОРА,6000,"БУЛ. ""ЦАР СИМЕОН ВЕЛИКИ"" №107",1913,E,D,4370.6,128015,32.83,15440,110391.56,7.1497,"Театри,кина,опери,худож.галерии",13,42.4249687194824,25.6291465759277,SE
Ulitsa 3-ti mart,Madan,Smolyan,4921,Bulgaria,"ЦДГ ""МИР"" с. ВЪРБИНА",с.ВЪРБИНА,4921,с.ВЪРБИНА,1976,F,B,1657,325521,89.75,58938,403019,6.838,Детско заведение (градини и ясли),2,41.5587348937988,24.9715023040771,SC
Ulitsa Brodo 1A,Pernik,Pernik,2302,Bulgaria,"ЖИЛИЩНА СГРАДА, ПЕРНИК",гр.ПЕРНИК,2300,УЛ. БРОДО-1А,1959,E,C,600.52,71321,34.6,6732.6,80793,12.0002,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6065635681152,23.0466613769531,SW
Ulitsa Lagadina 2,Sofia,Sofia-City,1415,Bulgaria,"ДГ №160 ""ЗДРАВЕЦ""",гр.СОФИЯ,1000,УЛ. ЗАХАРИ ЗОГРАФ 1,2011,D,C,1422.6,75878,15.33,6829,51120,7.4857,Детско заведение (градини и ясли),2,42.6309700012207,23.3148555755615,SW
Ulitsa 28-mi yanuari 34,Razgrad,Razgrad,7200,Bulgaria,"МБАЛ ""СВ. ИВАН РИЛСКИ"" - КОЖНО-ВЕНЕР. ОТДЕЛЕНИЕ",гр.РАЗГРАД,7200,1,1965,D,B,408,86461,23.4,7781.59,49188,6.321,"Здравеопазване (болници, поликлиники и др.)",7,43.5295104980468,26.5257205963134,NC
Ulitsa Sofiyska & Ulitsa Zdravets,Sofia,Sofia-City,1252,Bulgaria,"ОУ №177 ""КИРИЛ И МЕТОДИЙ"" - с.СВЕТОВРАЧЕНЕ",с.СВЕТОВРАЧЕНЕ,1247,с.СВЕТОВРАЧЕНЕ,1987,D,B,2461.53,156365,43.441,33100,233843,7.0647,"Образователни (училища, колежи и университети)",6,42.7826271057128,23.3876247406005,SW
Ulitsa Alen mak 4,Sevlievo,Gabrovo,5403,Bulgaria,МЖС,гр.СЕВЛИЕВО,5400,"УЛ.""АЛЕН МАК"" #6",1966,E,C,1315,92592,19.94,9352,128945,13.7879,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.0220069885253,25.0996761322021,NC
Ulitsa Prosveta 5,Sofia,Sofia-City,1588,Bulgaria,"ОУ №155 ""СВ. СВ. КИРИЛ И МЕТОДИЙ""",с.КРИВИНА,1588,"УЛ. ""ПРОСВЕТА"" №5",1912,E,C,1333,109780,34.997,20450,91720,4.485,"Образователни (училища, колежи и университети)",6,42.6817893981933,23.4641056060791,SW
House Number and Street Not Found,Dimitrovgrad,Haskovo,6400,Bulgaria,"СОУ ""ВАСИЛ ЛЕВСКИ"" - ФИЗК. САЛОН",гр.ДИМИТРОВГРАД,6400,гр.ДИМИТРОВГРАД,1975,D,C,432,37954,19.5,13349,82640,6.1907,"Образователни (училища, колежи и университети)",6,42.0545043945312,25.5947246551513,SC
House Number and Street Not Found,Veliko Tarnovo,Veliko Tarnovo,5000,Bulgaria,ВТУ - РЕКТОРАТ БЛОК А,гр.ВЕЛИКО ТЪРНОВО,5000,УЛ. Т.ТЪРНОВСКИ 2,1976,F,NA,3659,163345,70.85,19840,85616,4.3153,"Образователни (училища, колежи и университети)",6,43.0782318115234,25.6494674682617,NC
Ulitsa Vasil Sarbenov 3A,Sevlievo,Gabrovo,5403,Bulgaria,"МЖС-СЕВЛИЕВО, ""БРАТЯ БЪКСТОН"" 12",гр.СЕВЛИЕВО,5400,ул. БРАТЯ БЪКСТОН № 12,1985,G,C,2148.48,295182.461,33.905,17281.445,95575.949,5.5305,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.0206756591796,25.0964565277099,NC
House Number and Street Not Found,Kardzhali,Kardzhali,6600,Bulgaria,ПГ ПО СЕЛСКО И ГОРСКО СТОПАНСТВО-КЪРДЖАЛИ,гр.КЪРДЖАЛИ,6600,"УЛ. ""АГРАРНА"" 1",2006,D,B,12417,705815,196.6,135576,938594,6.923,"Образователни (училища, колежи и университети)",6,41.6235046386718,25.3651523590087,SC
zhk Mladost 1,Vratsa,Vratsa,3001,Bulgaria,"МНОГОФАМИЛНА ЖИЛ. СГРАДА, БЛ. 1-ВРАЦА",гр.ВРАЦА,3000,"Ж.К. МЛАДОСТ, БЛ. 1",1971,E,C,4830.33,415986,129.64,39410,295033,7.4862,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.1971282958984,23.5686798095703,NW
House Number and Street Not Found,Plovdiv,Plovdiv,4027,Bulgaria,"ЕЗИКОВА ГИМНАЗИЯ ""ПЛОВДИВ"" - ОБЩЕЖИТИЕ ЗА МОМЧЕТА",гр.ПЛОВДИВ,4000,"БУЛ, БЪЛГАРИЯ -123",1973,E,B,3015,234045.78,72.55,26190,140319,5.3577,"Образователни (училища, колежи и университети)",6,42.1555519104003,24.7155208587646,SC
Ulitsa Georgi Izmirliev 4,Gorna Oryahovitsa,Veliko Tarnovo,5100,Bulgaria,"НЧ ""БРАТЯ ГРЪНЧАРОВИ-2002""-ГОРНА ОРЯХОВИЦА",гр.ГОРНА ОРЯХОВИЦА,5100,"ПЛ. ""ГЕОРГИ ИЗМИРЛИЕВ"" №5",1977,G,B,1212.52,316375,67.9,37420.27,306194,8.1825,Библиотеки и читалища,12,43.1237754821777,25.6904697418212,NC
Ulitsa Brezova gora 1,Sofia,Sofia-City,1641,Bulgaria,"ОУ №86 ""СВ. КЛИМЕНТ ОХРИДСКИ""",с.ВЛАДАЯ,1641,"УЛ. ""БРЕЗОВА ГОРА"" № 1",1973,F,C,5665.62,444277,123.62,80076,581067,7.2564,"Образователни (училища, колежи и университети)",6,42.6301727294921,23.1950359344482,SW
Ulitsa 1-va,Saedinenie,Plovdiv,4185,Bulgaria,КМЕТСТВО - с. НАЙДЕН ГЕРОВО,с.НАЙДЕН ГЕРОВО,4185,с.НАЙДЕН ГЕРОВО,1959,G,C,341,39425,10.34,2604,22458,8.6244,Сгради за административно обслужване,1,42.3415985107421,24.4880828857421,SC
Ulitsa Vasil Levski 105A,Plovdiv,Plovdiv,4003,Bulgaria,АДМИН СГРАДА НА МАРИЦАТЕКС,гр.ПЛОВДИВ,4000,ул. ВАСИЛ ЛЕВСКИ №144,1956,G,B,1720,375774,74.73,23579,317278,13.4559,Сгради за административно обслужване,1,42.1729202270507,24.7420558929443,SC
House Number and Street Not Found,Plovdiv,Plovdiv,4000,Bulgaria,"СПОРТНО УЧИЛИЩЕ ""ВАСИЛ ЛЕВСКИ"" - ПАНСИОН 2",гр.ПЛОВДИВ,4000,гр.ПЛОВДИВ,1978,G,C,4006,530725,163.1,54138,356185,6.5792,"Образователни (училища, колежи и университети)",6,42.1354064941406,24.7457904815673,SC
Ulitsa Nikola Gabrovski 26A,Sofia,Sofia-City,1172,Bulgaria,"ОДЗ №30 ""РАДЕЦКИ""",гр.СОФИЯ,1000,"БУЛ.""НИКОЛА ГАБРОВСКИ"" 26, Р-Н ИЗГРЕВ",1976,D,NA,3311,178243,54.83,14258,138425,9.7085,Детско заведение (градини и ясли),2,42.6618957519531,23.3457050323486,SW
Bulevard Hristo Smirnenski 1B,Sofia,Sofia-City,1164,Bulgaria,УАСГ - БЛОК 2 И БЛОК 3 - ИЗТОЧНО КРИЛО,гр.СОФИЯ,1000,УЛ. ХР.СМИРНЕНСКИ 1,1940,E,NA,9906,564809,173.54,49195,404718,8.2268,"Образователни (училища, колежи и университети)",6,42.6834068298339,23.3314266204833,SW
Ulitsa Atanas Lipov,Varna,Varna,9140,Bulgaria,"ОУ ""ХРИСТО СМИРНЕНСКИ"" -  с. ТОПОЛИ",с.ТОПОЛИ,9140,с.ТОПОЛИ,1971,E,B,2600,197456,54.82,28157,194118,6.8941,"Образователни (училища, колежи и университети)",6,43.2170181274414,27.8206481933593,NE
Ulitsa Teodosiy Tarnovski 3,Veliko Tarnovo,Veliko Tarnovo,5000,Bulgaria,"ВТУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ"" - АУЛА И УЧЕБНИ ЗАЛИ",гр.ВЕЛИКО ТЪРНОВО,5000,УЛ. ТЕОДОСИЙ ТЪРНОВСКИ 2,1967,F,NA,3496,161084,67.38,19420,109035,5.6145,"Образователни (училища, колежи и университети)",6,43.0782318115234,25.649766921997,NC
House Number and Street Not Found,Sofia,Sofia-City,1220,Bulgaria,"ОДЗ №115 ""ОСМИ МАРТ""",гр.СОФИЯ,1000,"УЛ. ""ОСМИ МАРТ"" № 28",1956,D,B,1393.28,130284,40,27646,168538,6.0962,Детско заведение (градини и ясли),2,42.7300910949707,23.3068199157714,SW
Ulitsa St. Hadzhiyski 2,Lom,Montana,3600,Bulgaria,"МБАЛ""НИКОЛАЙ ЧУДОТВОРЕЦ"" - ОСН. СГРАДА",гр.ЛОМ,3600,УЛ. СТЕФЧО ХАДЖИЙСКИ 2,1978,C,C,11413,179523.8,50.08,21722.3,69911.14,3.2184,"Здравеопазване (болници, поликлиники и др.)",7,43.8286743164062,23.232364654541,NW
House Number and Street Not Found,Sofia,Sofia-City,1680,Bulgaria,АДМИНИСТРАТИВНА СГРАДА НА ТОПЛОФИКАЦИЯ ЕАД,гр.СОФИЯ,1000,УЛ. ЯСТРЕБЕЦ 23Б,1980,E,B,4146,238654,41.5,17784,225813,12.6975,Сгради за административно обслужване,1,42.6708297729492,23.2850666046142,SW
Ulitsa Kaleto 9,Berkovitsa,Montana,3500,Bulgaria,ПГ ПО ЛЕСОТЕХНИКА - БЕРКОВИЦА,гр.БЕРКОВИЦА,3500,УЛ. КАЛЕТО 2,1963,E,B,3530,286988,91.1,53510,342895,6.408,"Образователни (училища, колежи и университети)",6,43.2401733398437,23.1208019256591,NW
Ulitsa Pliska 4,Novi pazar,Shumen,9900,Bulgaria,МЖС,гр.НОВИ ПАЗАР,9900,ул. ПЛИСКА № 5,1976,G,C,5066,882947,74.29,60019,604859,10.0777,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.3470153808593,27.1949825286865,NE
Ulitsa Usin Karim 2,Teteven,Lovech,5700,Bulgaria,"ПГ ПО СТРОИТЕЛСТВО,ЕЛ. ТЕХНИКА И УСЛУГИ - ТЕТЕВЕН",гр.ТЕТЕВЕН,5700,УЛ. УСИН КЕРИН 2,1969,F,C,3840,312423,99.42,59550,290798,4.8832,"Образователни (училища, колежи и университети)",6,42.916088104248,24.2728652954101,NW
Ulitsa Stefan Karadzha,Razgrad,Razgrad,7200,Bulgaria,"ОУ ""Н. Й. ВАПЦАРОВ"" - ВТОРИ КОРПУС",гр.РАЗГРАД,7200,УЛ. СТ. КАРАДЖА 13,1967,F,B,860,130515,39.98,14208.8,77387,5.4464,"Образователни (училища, колежи и университети)",6,43.523151397705,26.525987625122,NC
Bulevard Sveti Naum,Sofia,Sofia-City,1164,Bulgaria,"ДЯ №46 ""МИКИ МАУС""",гр.СОФИЯ,1000,СВЕТИ НАУМ-56,1963,G,B,1778,159264,51.42,12562,145450.8,11.5786,Детско заведение (градини и ясли),2,42.6775588989257,23.3300495147705,SW
House Number and Street Not Found,Botevgrad,Sofia,2140,Bulgaria,МЖС,гр.БОТЕВГРАД,2140,"Ж.К. САРАНСК БЛ.10 ВХ.А,Б,В,Г""",1979,E,C,8859,1089845,109.93,49750,336743,6.7687,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.9156799316406,23.7940616607666,SW
Ulitsa Oborishte 94,Sofia,Sofia-City,1505,Bulgaria,ЖИЛ. СГРАДА - СОФИЯ,гр.СОФИЯ,1000,ул. ОБОРИЩЕ № 123 ап.12,1997,E,C,2741,112109,28.61,11636,89473,7.6893,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.6933898925781,23.3536968231201,SW
Ulitsa Sinchets 3,Kardzhali,Kardzhali,6600,Bulgaria,"ЦДГ ""ОРФЕЙ""",гр.КЪРДЖАЛИ,6600,УЛ. СИНЧЕЦ 1,1977,F,B,1587,243117.72,91.13,62780,165188,2.6312,Детско заведение (градини и ясли),2,41.6213035583496,25.3783092498779,SC
Ulitsa Bratan Shukerov 6,Smolyan,Smolyan,4702,Bulgaria,"МЖС-СМОЛЯН, КВ. УСТОВО, БЛ. А-6",гр.СМОЛЯН,4700,ул. БРАТАН ШУКЕРОВ № 26 бл. А-6 вх.Г ет.3 ап.44,1996,G,C,5209,833389.2,66.01,93930,610300,6.4973,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.5724334716796,24.7814426422119,SC
Ulitsa Pop Matey 1,Asenovgrad,Plovdiv,4230,Bulgaria,"ЦДГ ""МИР""",гр.АСЕНОВГРАД,4230,гр.АСЕНОВГРАД,1979,G,B,1838,713931,227,146652,501905,3.4224,Детско заведение (градини и ясли),2,42.013370513916,24.8785381317138,SC
Ulitsa Vasil Levski 21,Botevgrad,Sofia,2140,Bulgaria,"МЖС-БОТЕВГРАД, ""В. ЛЕВСКИ"" БЛ. 21",гр.БОТЕВГРАД,2140,ж.к. ВАСИЛ ЛЕВСКИ бл. 21,1980,E,B,1353.58,131854,22.7,11701.79,163623,13.9827,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.9027481079101,23.7903518676757,SW
Ulitsa 1-va,Saedinenie,Plovdiv,4189,Bulgaria,КМЕТСТВО - с.ЦЕРЕТЕЛЕВО,с.ЦЕРЕТЕЛЕВО,4189,с.ЦЕРЕТЕЛЕВО,1962,G,C,363,58129,13.088,3309,28242,8.5349,Сгради за административно обслужване,1,42.349510192871,24.6290664672851,SC
Ulitsa Vazrazhdane 11,Kula,Vidin,3800,Bulgaria,"МЖС-КУЛА, ""ВЪЗРАЖДАНЕ"" 15",гр.КУЛА,3800,ул. ВЪЗРАЖДАНЕ № 15,1971,G,C,3953,712564,218.24,72098,363879,5.047,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.8931236267089,22.5262241363525,NW
Ulitsa Bratya Shkorpil,Dolni Chiflik,Varna,9112,Bulgaria,"ОУ ""КИРИЛ И МЕТОДИ""и ЦДГ""ЩАСТЛ. ДЕТСТВО""-ШКОРПИЛОВЦИ",с.ШКОРПИЛОВЦИ,9112,с.ШКОРПИЛОВЦИ,2004,F,B,748.4,95121,7.34,6458.28,78660,12.1797,"Образователни (училища, колежи и университети)",6,42.9629898071289,27.8778228759765,NE
House Number and Street Not Found,Popovo,Targovishte,7800,Bulgaria,МЖС,гр.ПОПОВО,7800,ЖК.МЛАДОСТ БЛ.106,1989,F,C,1224,121142,8.73,15672,165692,10.5724,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.3327522277832,26.2334232330322,NE
Ulitsa 1-va 26,Sofia,Sofia-City,1839,Bulgaria,"ОУ №62 ""ХРИСТО БОТЕВ""-СГРАДА Б",гр.СОФИЯ,1000,"УЛ. ""1-ВА"" № 26",1980,G,B,294.82,37711,11.5,7998,95216,11.9049,"Образователни (училища, колежи и университети)",6,42.7102088928222,23.4009933471679,SW
Bulevard Andrey Saharov & Bulevard Aleksandar Malinov,Sofia,Sofia-City,1784,Bulgaria,"ДКЦ-25 - КОРПУС  ""С"" - СОФИЯ",гр.СОФИЯ,1000,МЛАДОСТ,1988,F,B,2659,254684,74.75,51320,221142,4.309,"Здравеопазване (болници, поликлиники и др.)",7,42.6497764587402,23.3779163360595,SW
House Number and Street Not Found,Popovo,Targovishte,7800,Bulgaria,МЖС БЛ 2,гр.ПОПОВО,7800,жк. МЛАДОСТ бл. 2,1982,E,C,2570,308437,28.93,12885,129045,10.0151,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,43.3327522277832,26.2332229614257,NE
Ulitsa Sveti Konstantin 54,Peshtera,Pazardzhik,4550,Bulgaria,"ПГ ПО ХВТ ""АТАНАС ЧЕНГЕЛЕВ""-ПЕЩЕРА",гр.ПЕЩЕРА,4550,УЛ. СВ. КОНСТАТИН-54,1968,E,B,4670,408084,100.84,60420,498671,8.2534,"Образователни (училища, колежи и университети)",6,42.0356636047363,24.2959728240966,SC
Bulevard D-r G. M. Dimitrov,Sofia,Sofia-City,1172,Bulgaria,НХА-ФАКУЛТЕТ ЗА ПРИЛОЖНИ ИЗКУСТВА-Г. М. ДИМИТРОВ-100,гр.СОФИЯ,1000,"БУЛ. ""Г. М. ДИМИТРОВ"" 100",1989,C,B,6002,155992,45.8,14942.4,160777.2,10.7597,"Образователни (училища, колежи и университети)",6,42.6589546203613,23.3460178375244,SW
Ulitsa Tsacho Shishkov 12,Lovech,Lovech,5500,Bulgaria,"ОДЗ ""СЛЪНЦЕ""",гр.ЛОВЕЧ,5500,гр.ЛОВЕЧ,1982,G,C,2779,406583,123.25,37170,228110,6.1369,Детско заведение (градини и ясли),2,43.1369514465332,24.7142906188964,NW
Ploshtad Svoboda,Ruse,Ruse,7000,Bulgaria,"ЧИТАЛИЩЕ ""ЗОРА""-РУСЕ",гр.РУСЕ,7000,"ПЛ. ""СВОБОДА"" 6",1975,E,B,1137,108065,34.63,23644,137267,5.8055,Библиотеки и читалища,12,43.8477210998535,25.9545192718505,NC
Ulitsa Glazne & Ulitsa Tsar Simeon,Bansko,Blagoevgrad,2770,Bulgaria,УВЦ- БАНСКО-КЪЩА 3,гр.БАНСКО,2770,БАНСКО,2003,C,B,705,63467,19.37,13962.2,69143,4.9521,Хотели и ресторанти,8,41.8404235839843,23.4856529235839,SW
Ulitsa Kozharska 2,Sofia,Sofia-City,1202,Bulgaria,ПГ ПО ТОПЛИННА И ХЛАДИЛНА ТЕХНИКА-РАБОТИЛНИЦА - СОФИЯ,гр.СОФИЯ,1000,УЛ КОЖАРСКА 2,1960,D,B,2749,218787,80.01,47785.24,271988,5.6918,"Образователни (училища, колежи и университети)",6,42.7100296020507,23.3369712829589,SW
House Number and Street Not Found,Sofia,Sofia-City,1113,Bulgaria,БАН - НАУЧЕН КОМПЛЕКС - бл. 107-107А,гр.СОФИЯ,1000,"УЛ. ""АКАДЕМИК Г. БОНЧЕВ""",1987,E,B,1728,216394,55.11,32156.96,303954,9.4521,"Образователни (училища, колежи и университети)",6,42.6736221313476,23.3689765930175,SW
Ulitsa Ekzarh Stefan 91,Sofia,Sofia-City,1220,Bulgaria,ДЯ №62,гр.СОФИЯ,1000,НАДЕЖДА,1966,D,B,1709,97947,28.48,7950,94633,11.9035,Детско заведение (градини и ясли),2,42.7324981689453,23.2986106872558,SW
868 & Fatovo,Smolyan,Smolyan,4700,Bulgaria,ДОМ ЗА СТАРИ ХОРА С ОТДЕЛЕНИЕ ЗА ЛЕЖАЩО БОЛНИ,с.ФАТОВО,4797,с.ФАТОВО,1970,F,B,1362,338300,118.23,74120,467103,6.3019,"Други, вкл. старч. домове, за сираци и изоставени деца, общ-тия, автосервизи",14,41.5462226867675,24.7766971588134,SC
Ulitsa Saedinenie 72,Rodopi,Plovdiv,4110,Bulgaria,"ОУ ""СВ. СВ. КИРИЛ И МЕТОДИЙ"" - СГРАДА 1",с.ПЪРВЕНЕЦ,4110,с.ПЪРВЕНЕЦ,1927,D,B,1860,84582,31.4,20190,116139,5.7523,"Образователни (училища, колежи и университети)",6,42.0744514465332,24.6633720397949,SC
House Number and Street Not Found,Sofia,Sofia-City,1111,Bulgaria,"ВА ""Г.С. РАКОВСКИ"" - УЧЕБЕН КОРПУС",гр.СОФИЯ,1000,БУЛ. ЕВЛОГИ И ХРИСТО ГЕОРГИЕВИ-82,1905,D,C,17373,318433,94.33,27106,417518,15.4031,"Образователни (училища, колежи и университети)",6,42.6924133300781,23.3451995849609,SW
House Number and Street Not Found,Kazanlak,Stara Zagora,6100,Bulgaria,ПГТТМ-УЧЕБНИ РАБОТИЛНИЦИ-КАЗАНЛЪК,гр.КАЗАНЛЪК,6100,"УЛ. ""ХЕМУС"" №5",1997,E,C,1623,212963,54.19,26170,258313.35,9.8705,"Образователни (училища, колежи и университети)",6,42.6239547729492,25.4043674468994,SE
House Number and Street Not Found,Sofia,Sofia-City,1784,Bulgaria,"СГРАДА НА ""ТЕХНОЛОГИЧЕН КОРПУС А-1""",гр.СОФИЯ,1000,ЦАРИГРАДСКО-7 КМ,1992,E,D,5832,55628,17.3,4506,25641,5.6904,Сгради за административно обслужване,1,42.6512222290039,23.3924465179443,SW
Bulevard Tsarigradsko shose,Sofia,Sofia-City,1784,Bulgaria,БАН - СГРАДА БИВШ ИЗЧИСЛИТЕЛЕН ЦЕНТЪР,гр.СОФИЯ,1000,ЦАРИГРАДСКО ШОСЕ-72,1964,E,B,1868,190341,50.37,28262.02,210559,7.4502,"Образователни (училища, колежи и университети)",6,42.6536636352539,23.3885707855224,SW
Slashten,Satovcha,Blagoevgrad,2937,Bulgaria,ЦДГ - С. СЛАЩЕН,с.СЛАЩЕН,2937,С. СЛАЩЕН,1983,E,C,1176.6,93115,25.46,6156.1506,54075,8.7838,Детско заведение (градини и ясли),2,41.497573852539,24.018211364746,SW
Kvartal Varosha,Targovishte,Targovishte,7700,Bulgaria,"СОУ №2 ""Проф. НИКОЛА МАРИНОВ""",гр.ТЪРГОВИЩЕ,7700,УЛ. ТРАЙКО КИТАНЧЕВ-39,1968,D,C,5160,316037,80.3,35448.63,290000,8.1808,"Образователни (училища, колежи и университети)",6,43.242561340332,26.5636100769042,NE
Ulitsa Tsar Osvoboditel 4,Panagyurishte,Pazardzhik,4500,Bulgaria,МНОГОФАМИЛНА ЖИЛ. СГРАДА - ПАНАГЮРИЩЕ,гр.ПАНАГЮРИЩЕ,4500,"УЛ.""ЦАР ОСВОБОДИТЕЛ""# 4",1963,F,C,945.4,113617,24.03,9762.97,65956,6.7557,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,42.5038909912109,24.1851043701171,SC
House Number and Street Not Found,Maglizh,Stara Zagora,6178,Bulgaria,"ОДЗ ""ДЕТЕЛИНА""",с.ДЪБОВО,6178,с.ДЪБОВО,1980,G,B,1557,505245,157.29,79767.8,403426,5.0575,Детско заведение (градини и ясли),2,42.5908012390136,25.6404495239257,SE
Ulitsa Lelinska Chuka,Sofia,Sofia-City,1618,Bulgaria,"СОУ №142 ""ВЕСЕЛИН ХАНЧЕВ""",гр.СОФИЯ,1000,"УЛ. ""ПЧЕЛА"" №21",1966,F,C,6526,697733,177.35,85225.9,546479,6.4121,"Образователни (училища, колежи и университети)",6,42.6729736328125,23.2803173065185,SW
Ulitsa 9-ti septemvri,Krumovgrad,Kardzhali,6900,Bulgaria,МЖС,гр.КРУМОВГРАД,6900,пл. България 7,1968,E,B,2351,277875,20.99,18059,267538,14.8146,"Жилищна - етажна собственост (блок и/или кооперация) с ниско, средно и високо застрояване",3,41.47261428833,25.6520462036132,SC
Ulitsa Lyulin 3,Sofia,Sofia-City,1390,Bulgaria,"СОУ №90 ""Ген.ХОСЕ ДЕ САН МАРТИН""",гр.СОФИЯ,1000,"ЛЮЛИН, УЛ 204 №3",1976,D,B,11603,762369,229.34,77611.9,858467,11.061,"Образователни (училища, колежи и университети)",6,42.7173538208007,23.2287788391113,SW
Ulitsa Evlogi Georgiev,Varna,Varna,9010,Bulgaria,"ЦДГ №35 ""НЕЗАБРАВКА""",гр.ВАРНА,9000,УЛ. ЕВЛ. ГЕОРГИЕВ,1974,D,B,2600,146961,51.12,27150,110218,4.0595,Детско заведение (градини и ясли),2,43.2239456176757,27.9206275939941,NE
Ulitsa 367,Sofia,Sofia-City,1360,Bulgaria,"ОУ №70 ""СВ. КЛИМЕНТ ОХРИДСКИ""-ФИЗКУЛТУРЕН САЛОН",гр.СОФИЯ,1000,"УЛ. ""АДАМ МИЦКЕВИЧ"" №10",1980,E,B,292,125229,56.2,37653,85301,2.2654,"Образователни (училища, колежи и университети)",6,42.7265968322753,23.2827320098876,SW
Ulitsa Tyulbenska 90,Kazanlak,Stara Zagora,6102,Bulgaria,"ПГ ""ИВАН ХАДЖИЕНОВ"" - ФИЗК. САЛОН,  КАЗАНЛЪК",гр.КАЗАНЛЪК,6100,УЛ. ЦАР БОРИС ПЪРВИ-2,1975,G,B,549,75325,16.74,6837,55789,8.1598,"Образователни (училища, колежи и университети)",6,42.6214790344238,25.4061870574951,SE
Ulitsa Gen. Kutuzov 4,Plovdiv,Plovdiv,4027,Bulgaria,"ЦДГ ""ПРОЛЕТ""",гр.ПЛОВДИВ,4000,УЛ. ГЕН. КУТУЗОВ-4,1962,F,B,984,146411.1,37.17,17850,84910.37,4.7568,Детско заведение (градини и ясли),2,42.1585235595703,24.7257785797119,SC
Ulitsa Vasil Levski,Sofia,Sofia-City,1806,Bulgaria,"ЦДГ №47 ""ШАРЕНА ДЪГА""",с.ГОРНИ БОГРОВ,1806,Р-Н КРЕМИКОВЦИ,1967,B,B,415,10204,3.82,1958,12163,6.2119,Детско заведение (градини и ясли),2,42.7180366516113,23.52952003479,SW
Ulitsa P. Parchevich 45,Chiprovtsi,Montana,3460,Bulgaria,"ОУ ""ПЕТЪР ПАРЧЕВИЧ""",гр.ЧИПРОВЦИ,3460,УЛ. П. ПАРЧЕВИЧ-45,1977,F,C,3815,400009,130.63,84601.73,379768,4.4888,"Образователни (училища, колежи и университети)",6,43.3844604492187,22.8814029693603,NW
Ulitsa Angel Kanchev 19A,Montana,Montana,3400,Bulgaria,"ПГ ПО ТЕХНИКА И ЕЛЕКТРОТЕХНИКА ""ХР. БОТЕВ""-МОНТАНА",гр.МОНТАНА,3400,УЛ. НЕОФИТ БОЗВЕЛИ-22А,1968,E,C,6411,482980.81,129.66,45754.7,463502.15,10.1301,"Образователни (училища, колежи и университети)",6,43.410789489746,23.2155380249023,NW
